;;;;;;;
;PELÍCULAS;;;;;;
;idPelicula;Titulo;Año;Duración;Nota IMDb;Género;Poster
;114;Y de repente tú;2015;125min;6.2;Comedia;https://pics.filmaffinity.com/trainwreck-190246355-mmed.jpg
;115;Puñales por la espalda;2019;130min;7.9;Comedia;https://pics.filmaffinity.com/knives_out-326770674-mmed.jpg
;116;Starsky & Hutch;2004;101min;6.1;Comedia;https://pics.filmaffinity.com/starsky_hutch_aka_starsky_and_hutch_the_movie-129326556-mmed.jpg
;117;La máscara;1994;101;6.9;Comedia;https://pics.filmaffinity.com/the_mask-746858956-mmed.jpg
;118;Click;2006;107min;6.4;Comedia;https://pics.filmaffinity.com/click-924581501-mmed.jpg
;119;El becario;2015;121min;7.1;Comedia;https://pics.filmaffinity.com/the_intern-267828724-mmed.jpg
;120;El dictador;2012;83min;6.4;Comedia;https://pics.filmaffinity.com/the_dictator-138905408-mmed.jpg
;121;Yucatán;2018;130min;5.6;Comedia;https://pics.filmaffinity.com/yucatan-564640894-mmed.jpg
;122;El diario de Bridget Jones;2001;100min;6.7;Comedia;https://pics.filmaffinity.com/bridget_jones_s_diary-320975640-mmed.jpg
;123;Se nos fue de las manos;2014;85min;6.8;Comedia;https://pics.filmaffinity.com/babysitting-661690405-mmed.jpg
;124;Cómo acabar sin tu jefe 2;2014;105min;6.3;Comedia;https://pics.filmaffinity.com/horrible_bosses_2-408816038-mmed.jpg
;125;Arma fatal;2007;121min;7.8;Comedia;https://pics.filmaffinity.com/hot_fuzz-381252727-mmed.jpg
;126;Johnny English;2003;88min;6.2;Comedia;https://pics.filmaffinity.com/johnny_english-466735129-mmed.jpg
;127;Ocho apellidos vascos;2014;98min;6.5;Comedia;https://pics.filmaffinity.com/ocho_apellidos_vascos-836127633-mmed.jpg
;128;Snatch. Cerdos y diamantes;2000;104min;8.2;Comedia;https://pics.filmaffinity.com/snatch-921179475-mmed.jpg
;129;El gran Lebowski;1998;117min;8.1;Comedia;https://pics.filmaffinity.com/the_big_lebowski-877217211-mmed.jpg
;130;Solo en casa;1990;100min;7.6;Comedia;https://pics.filmaffinity.com/home_alone-163260879-mmed.jpg
;131;Niños grandes;2010;97min;6.0;Comedia;https://pics.filmaffinity.com/grown_ups-567297059-mmed.jpg
;132;Ted 2;2015;115min;6.3;Comedia;https://pics.filmaffinity.com/ted_2-177396934-mmed.jpg
;133;Supermaderos;2002;99min;7.1;Comedia;https://pics.filmaffinity.com/super_troopers-635619773-mmed.jpg
;134;Proyecto X;2012;88min;6.6;Comedia;https://pics.filmaffinity.com/project_x-191267760-mmed.jpg
;135;Malditos vecinos;2014;96min;6.3;Comedia;https://pics.filmaffinity.com/neighbors-933128749-mmed.jpg
;136;El gran Stan: El matón de la prisión;2007;105min;6.2;Comedia;https://pics.filmaffinity.com/big_stan-945915466-mmed.jpg
;137;Norbit;2007;102min;4.1;Comedia;https://pics.filmaffinity.com/norbit-332878711-mmed.jpg
;138;Infiltrados en la universidad;2014;120min;7.0;Comedia;https://pics.filmaffinity.com/22_jump_street-643395530-mmed.jpg
;139;Pixels;2015;105min;5.5;Comedia;https://pics.filmaffinity.com/pixels-369347945-mmed.jpg
;140;El mundo es nuestro;2012;87min;6.6;Comedia;https://pics.filmaffinity.com/el_mundo_es_nuestro-968175243-mmed.jpg
;141;De-mentes criminales;2016;94min;5.8;Comedia;https://pics.filmaffinity.com/masterminds_aka_loomis_fargo-181851356-mmed.jpg
;142;Superagente 86 de película;2008;110min;6.5;Comedia;https://pics.filmaffinity.com/get_smart-679279556-mmed.jpg
;143;Resacón 2: ¡Ahora en Tailandia!;2011;102min;6.5;Comedia;https://pics.filmaffinity.com/the_hangover_part_ii-126131083-mmed.jpg
;144;Amélie;2001;120min;8.3;Comedia;https://pics.filmaffinity.com/le_fabuleux_destin_d_amelie_poulain-848337470-mmed.jpg
;145;Dos tontos muy tontos;1994;106min;7.3;Comedia;https://pics.filmaffinity.com/dumb_and_dumber_dumb_dumber-138209855-mmed.jpg
;146;Colega, ¿dónde está mi coche?;2000;95min;5.5;Comedia;https://pics.filmaffinity.com/dude_where_s_my_car-919078711-mmed.jpg
;147;Scary Movie;2000;88miin;6.2;Comedia;https://pics.filmaffinity.com/scary_movie-943532513-mmed.jpg
;148;Súper empollonas;2019;102min;7.2;Comedia;https://pics.filmaffinity.com/booksmart-275958553-mmed.jpg
;149;Vaya patrulla;2014;100min;6.2;Comedia;https://pics.filmaffinity.com/ride_along-858561255-mmed.jpg
;150;La peor semana;2018;116min;5.2;Comedia;https://pics.filmaffinity.com/the_week_of-768501698-mmed.jpg
;151;Regreso al futuro;1985;116min;8.5;Sci-Fi;https://pics.filmaffinity.com/back_to_the_future-100822308-mmed.jpg
;152;Alien, el octavo pasajero;1979;116min;8.4;Sci-Fi;https://pics.filmaffinity.com/alien-657278575-mmed.jpg
;153;Interstellar;2014;169min;8.6;Sci-Fi;https://pics.filmaffinity.com/interstellar-366875261-mmed.jpg
